,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,"4    M. Budenholzer (24-58)
Name: Coaches, dtype: object","4    24
Name: W, dtype: int64-4    58
Name: L, dtype: int64","Atlanta, Georgia",47,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,"4    K. Atkinson (28-54)
Name: Coaches, dtype: object","4    28
Name: W, dtype: int64-4    54
Name: L, dtype: int64","Brooklyn, New York","29
  
    (22 NBA & 7 ABA)",2
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,"4    B. Stevens (55-27)
Name: Coaches, dtype: object","4    55
Name: W, dtype: int64-4    27
Name: L, dtype: int64","Boston, Massachusetts",58,1
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,"4    S. Clifford (36-46)
Name: Coaches, dtype: object","4    36
Name: W, dtype: int64-4    46
Name: L, dtype: int64","Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,"4    F. Hoiberg (27-55)
Name: Coaches, dtype: object","4    27
Name: W, dtype: int64-4    55
Name: L, dtype: int64","Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,"4    T. Lue (50-32)
Name: Coaches, dtype: object","4    50
Name: W, dtype: int64-4    32
Name: L, dtype: int64","Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,"4    R. Carlisle (24-58)
Name: Coaches, dtype: object","4    24
Name: W, dtype: int64-4    58
Name: L, dtype: int64","Dallas, Texas",23,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,"4    M. Malone (46-36)
Name: Coaches, dtype: object","4    46
Name: W, dtype: int64-4    36
Name: L, dtype: int64","Denver, Colorado","36
  
    (27 NBA & 9 ABA)",0
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,"4    S. Van Gundy (39-43)
Name: Coaches, dtype: object","4    39
Name: W, dtype: int64-4    43
Name: L, dtype: int64","Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,"4    S. Kerr (58-24)
Name: Coaches, dtype: object","4    58
Name: W, dtype: int64-4    24
Name: L, dtype: int64","San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,"4    M. D'Antoni (65-17)
Name: Coaches, dtype: object","4    65
Name: W, dtype: int64-4    17
Name: L, dtype: int64","Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,"4    N. McMillan (48-34)
Name: Coaches, dtype: object","4    48
Name: W, dtype: int64-4    34
Name: L, dtype: int64","Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)",3
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,"4    D. Rivers (42-40)
Name: Coaches, dtype: object","4    42
Name: W, dtype: int64-4    40
Name: L, dtype: int64","Los Angeles, California",16,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,"4    L. Walton (35-47)
Name: Coaches, dtype: object","4    35
Name: W, dtype: int64-4    47
Name: L, dtype: int64","Los Angeles, California",62,1
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,"4    D. Fizdale (7-12), J. Bickerstaff (15-48)
Name: Coaches, dtype: object","4    22
Name: W, dtype: int64-4    60
Name: L, dtype: int64","Memphis, Tennessee",11,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,"4    E. Spoelstra (44-38)
Name: Coaches, dtype: object","4    44
Name: W, dtype: int64-4    38
Name: L, dtype: int64","Miami, Florida",22,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,"4    J. Kidd (23-22), J. Prunty (21-16)
Name: Coaches, dtype: object","4    44
Name: W, dtype: int64-4    38
Name: L, dtype: int64","Milwaukee, Wisconsin",33,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,"4    T. Thibodeau (47-35)
Name: Coaches, dtype: object","4    47
Name: W, dtype: int64-4    35
Name: L, dtype: int64","Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,"4    A. Gentry (48-34)
Name: Coaches, dtype: object","4    48
Name: W, dtype: int64-4    34
Name: L, dtype: int64","New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,"4    J. Hornacek (29-53)
Name: Coaches, dtype: object","4    29
Name: W, dtype: int64-4    53
Name: L, dtype: int64","New York, New York",43,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,"4    B. Donovan (48-34)
Name: Coaches, dtype: object","4    48
Name: W, dtype: int64-4    34
Name: L, dtype: int64","Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,"4    F. Vogel (25-57)
Name: Coaches, dtype: object","4    25
Name: W, dtype: int64-4    57
Name: L, dtype: int64","Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,"4    B. Brown (52-30)
Name: Coaches, dtype: object","4    52
Name: W, dtype: int64-4    30
Name: L, dtype: int64","Philadelphia, Pennsylvania",51,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,"4    E. Watson (0-3), J. Triano (21-58)
Name: Coaches, dtype: object","4    21
Name: W, dtype: int64-4    61
Name: L, dtype: int64","Phoenix, Arizona",30,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,"4    T. Stotts (49-33)
Name: Coaches, dtype: object","4    49
Name: W, dtype: int64-4    33
Name: L, dtype: int64","Portland, Oregon",37,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,"4    D. Joerger (27-55)
Name: Coaches, dtype: object","4    27
Name: W, dtype: int64-4    55
Name: L, dtype: int64","Sacramento, California",29,1
27,SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,"4    G. Popovich (47-35)
Name: Coaches, dtype: object","4    47
Name: W, dtype: int64-4    35
Name: L, dtype: int64","San Antonio, Texas","47
  
    (39 NBA & 8 ABA)",5
28,TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,"4    D. Casey (59-23)
Name: Coaches, dtype: object","4    59
Name: W, dtype: int64-4    23
Name: L, dtype: int64","Toronto, Canada",12,1
29,UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,"4    Q. Snyder (48-34)
Name: Coaches, dtype: object","4    48
Name: W, dtype: int64-4    34
Name: L, dtype: int64","Salt Lake City, Utah",30,0
30,WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,"4    S. Brooks (43-39)
Name: Coaches, dtype: object","4    43
Name: W, dtype: int64-4    39
Name: L, dtype: int64","Washington, District of Columbia",30,1
